FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,FIRE_RISK
01017,2012,38,474.0,18012.0
01017,2013,28,506.6,14184.800000000001
01017,2014,23,271.0,6233.0
01017,2015,13,48.3,627.9
01017,2016,44,323.6,14238.400000000001
01017,2017,24,246.3,5911.200000000001
01017,2018,14,90.5,1267.0
01017,2019,18,139.2,2505.6
01017,2020,9,245.0,2205.0
01019,2003,47,1199.9,56395.3
01019,2004,93,2541.2,236331.59999999998
01019,2005,93,2648.5,246310.5
01019,2006,101,3659.7,369629.69999999995
01019,2007,95,5468.1,519469.50000000006
01019,2008,40,695.2,27808.0
01019,2009,35,937.35,32807.25
01019,2010,42,1511.3999999999999,63478.799999999996
01019,2011,35,3830.0,134050.0
01019,2012,54,1231.0,66474.0
01019,2013,32,1549.6000000000001,49587.200000000004
01019,2014,34,949.8,32293.199999999997
01019,2015,38,715.9,27204.2
01019,2016,79,1885.0,148915.0
01019,2017,26,816.6,21231.600000000002
01019,2018,13,213.4,2774.2000000000003
01019,2019,23,417.5,9602.5
01019,2020,11,134.2,1476.1999999999998
01021,2003,49,148.6,7281.4
01021,2004,87,669.1,58211.700000000004
01021,2005,51,343.2,17503.2
01021,2006,67,689.5,46196.5
01021,2007,68,624.6,42472.8
01021,2008,58,430.7,24980.6
01021,2009,37,241.96,8952.52
01021,2010,48,214.85,10312.8
01021,2011,50,262.25,13112.5
01021,2012,45,585.5,26347.5
01021,2013,53,370.2,19620.6
01021,2014,51,306.55,15634.050000000001
01021,2015,36,173.91,6260.76
01021,2016,87,402.32,35001.84
01021,2017,24,539.71,12953.04
01021,2018,17,139.0,2363.0
01021,2019,53,970.3,51425.899999999994
01021,2020,11,112.0,1232.0
01023,2003,10,50.0,500.0
01023,2004,38,329.6,12524.800000000001
01023,2005,23,170.0,3910.0
01023,2006,54,1755.5,94797.0
01023,2007,50,237.35,11867.5
01023,2008,22,102.4,2252.8
01023,2009,20,234.78,4695.6
01023,2010,26,340.75,8859.5
01023,2011,68,357.75,24327.0
01023,2012,24,211.0,5064.0
01023,2013,20,137.56,2751.2
01023,2014,37,185.55,6865.35
01023,2015,38,488.45,18561.1
01023,2016,32,518.47,16591.04
01023,2017,13,72.75,945.75
01023,2018,8,191.5,1532.0
01023,2019,17,287.6,4889.200000000001
01023,2020,3,11.0,33.0
01025,2003,7,22.3,156.1
01025,2004,34,282.3,9598.2
01025,2005,20,124.5,2490.0
01025,2006,50,821.05,41052.5
01025,2007,24,134.1,3218.3999999999996
01025,2008,25,120.45,3011.25
01025,2009,39,240.7,9387.3
01025,2010,25,343.3,8582.5
01025,2011,22,642.35,14131.7
01025,2012,13,174.5,2268.5
01025,2013,15,293.8,4407.0
01025,2014,34,292.6,9948.400000000001
01025,2015,36,439.8,15832.800000000001
01025,2016,38,207.2,7873.599999999999
01025,2017,17,119.55,2032.35
01025,2018,6,169.6,1017.5999999999999
01025,2019,20,90.95,1819.0
01025,2020,13,62.05,806.65
01027,2003,20,193.75,3875.0
01027,2004,41,1023.75,41973.75
01027,2005,31,556.2,17242.2
01027,2006,48,1410.45,67701.6
01027,2007,71,1998.8,141914.8
01027,2008,18,411.0,7398.0
01027,2009,25,694.55,17363.75
01027,2010,26,263.1,6840.6
01027,2011,20,386.4,7728.0
01027,2012,29,507.28999999999996,14711.41
01027,2013,29,1092.6,31685.399999999998
01027,2014,24,534.4,12825.599999999999
01027,2015,24,475.15,11403.599999999999
01027,2016,65,6714.2699999999995,436427.55
01027,2017,19,179.85,3417.15
01027,2018,15,161.6,2424.0
01027,2019,23,304.78000000000003,7009.9400000000005
01027,2020,9,262.2,2359.7999999999997
01029,2003,53,1618.5,85780.5
01029,2004,111,3417.25,379314.75
01029,2005,68,2635.5,179214.0
01029,2006,122,4693.65,572625.2999999999
01029,2007,97,1848.83,179336.50999999998
01029,2008,39,1090.75,42539.25
01029,2009,32,931.55,29809.6
01029,2010,37,1176.0,43512.0
01029,2011,32,1401.0,44832.0
01029,2012,54,1746.0,94284.0
01029,2013,30,1450.25,43507.5
01029,2014,31,853.9,26470.899999999998
01029,2015,20,450.2,9004.0
01029,2016,87,1690.87,147105.69
01029,2017,21,1215.2,25519.2
01029,2018,23,238.8,5492.400000000001
01029,2019,33,1113.7,36752.1
01029,2020,21,452.25,9497.25
01031,2003,2,3.5,7.0
01031,2004,10,130.0,1300.0
01031,2005,12,94.3,1131.6
01031,2006,22,196.4,4320.8
01031,2007,17,138.0,2346.0
01031,2008,10,55.4,554.0
01031,2009,9,129.6,1166.3999999999999
01031,2010,9,202.0,1818.0
01031,2011,17,302.85,5148.450000000001
01031,2012,19,332.0,6308.0
01031,2013,17,159.45000000000002,2710.65
01031,2014,8,76.3,610.4
01031,2015,10,45.6,456.0
01031,2016,25,105.6,2640.0
01031,2017,13,118.39,1539.07
01031,2018,5,30.5,152.5
01031,2019,14,73.0,1022.0
01031,2020,7,81.0,567.0
01033,2003,24,44.2,1060.8000000000002
01033,2004,30,154.34,4630.2
01033,2005,39,189.62,7395.18
01033,2006,82,517.1,42402.200000000004
01033,2007,51,852.11,43457.61
01033,2008,24,86.92,2086.08
01033,2009,28,126.65,3546.2000000000003
01033,2010,10,62.5,625.0
01033,2011,10,199.0,1990.0
01033,2012,14,264.5,3703.0
01033,2013,10,27.4,274.0
01033,2014,18,64.75,1165.5
01033,2015,25,165.35,4133.75
01033,2016,55,249.32,13712.6
01033,2017,19,153.6,2918.4
01033,2018,1,10.0,10.0
01033,2019,7,25.0,175.0
01033,2020,2,16.0,32.0
01035,2003,41,326.90000000000003,13402.900000000001
01035,2004,76,1413.4,107418.40000000001
01035,2005,49,367.9,18027.1
01035,2006,108,1892.4,204379.2
01035,2007,62,1136.7,70475.40000000001
01035,2008,42,610.8,25653.6
01035,2009,35,400.8,14028.0
01035,2010,42,922.15,38730.299999999996
01035,2011,46,872.25,40123.5
01035,2012,24,446.5,10716.0
01035,2013,25,565.2,14130.000000000002
01035,2014,43,589.7,25357.100000000002
01035,2015,49,1006.1999999999999,49303.799999999996
01035,2016,66,449.06,29637.96
01035,2017,36,1138.85,40998.6
01035,2018,25,114.6,2865.0
01035,2019,31,279.15,8653.65
01035,2020,19,128.2,2435.7999999999997
01037,2003,15,148.5,2227.5
01037,2004,47,608.5,28599.5
01037,2005,21,255.75,5370.75
01037,2006,37,1216.6,45014.2
01037,2007,46,1184.15,54470.9
01037,2008,21,365.8,7681.8
01037,2009,17,435.6,7405.200000000001
01037,2010,27,520.42,14051.339999999998
01037,2011,27,318.5,8599.5
01037,2012,29,383.0,11107.0
01037,2013,17,143.8,2444.6000000000004
01037,2014,21,300.3,6306.3
01037,2015,25,152.1,3802.5
01037,2016,57,1261.8500000000001,71925.45000000001
01037,2017,21,214.9,4512.900000000001
01037,2018,16,147.75,2364.0
01037,2019,24,268.71,6449.039999999999
01037,2020,12,72.0,864.0
01039,2003,16,152.8,2444.8
01039,2004,31,1063.7,32974.700000000004
01039,2005,25,280.5,7012.5
01039,2006,57,1193.22,68013.54000000001
01039,2007,53,276.75,14667.75
01039,2008,22,126.93,2792.46
01039,2009,13,199.33,2591.29
01039,2010,8,116.25,930.0
01039,2011,21,167.65,3520.65
01039,2012,21,119.5,2509.5
01039,2013,22,313.2,6890.4
01039,2014,37,581.75,21524.75
01039,2015,30,347.90000000000003,10437.000000000002
01039,2016,53,367.92,19499.760000000002
01039,2017,19,680.48,12929.12
01039,2018,21,577.73,12132.33
01039,2019,30,957.5,28725.0
01039,2020,15,63.4,951.0
01041,2003,4,29.5,118.0
01041,2004,19,83.1,1578.8999999999999
01041,2005,16,115.0,1840.0
01041,2006,21,479.8,10075.800000000001
01041,2007,22,151.3,3328.6000000000004
01041,2008,18,131.8,2372.4
01041,2009,9,100.9,908.1
01041,2010,18,134.25,2416.5
01041,2011,18,108.75,1957.5
01041,2012,20,94.5,1890.0
01041,2013,21,163.25,3428.25
01041,2014,19,192.15,3650.85
01041,2015,24,365.83,8779.92
01041,2016,34,91.25,3102.5
01041,2017,10,34.8,348.0
01041,2018,11,52.7,579.7
01041,2019,10,24.95,249.5
01041,2020,6,31.35,188.10000000000002
01043,2003,18,33.75,607.5
01043,2004,19,58.7,1115.3
01043,2005,29,298.75,8663.75
01043,2006,38,206.65,7852.7
01043,2007,44,423.5,18634.0
01043,2008,16,87.8,1404.8
01043,2009,11,60.15,661.65
01043,2010,39,754.4,29421.6
01043,2011,10,160.75,1607.5
01043,2012,19,807.5,15342.5
01043,2013,16,370.5,5928.0
01043,2014,38,523.2,19881.600000000002
01043,2015,40,460.8,18432.0
01043,2016,59,1266.55,74726.45
01043,2017,11,183.0,2013.0
01043,2018,15,222.0,3330.0
01043,2019,24,217.1,5210.4
01043,2020,12,110.0,1320.0
01045,2003,1,4.0,4.0
01045,2004,11,39.0,429.0
01045,2005,4,19.5,78.0
01045,2006,13,241.5,3139.5
01045,2007,14,63.5,889.0
01045,2008,7,44.1,308.7
01045,2009,5,78.2,391.0
01045,2010,5,13.0,65.0
01045,2011,16,56.7,907.2
01045,2012,11,76.0,836.0
01045,2013,7,18.5,129.5
01045,2014,14,34.35,480.90000000000003
01045,2015,8,35.72,285.76
01045,2016,20,41.46,829.2
01045,2017,14,67.15,940.1000000000001
01045,2018,7,45.85,320.95
01045,2019,8,50.2,401.6
01045,2020,12,19.45,233.39999999999998
01047,2003,8,48.199999999999996,385.59999999999997
01047,2004,38,558.6,21226.8
01047,2005,58,260.8,15126.400000000001
01047,2006,69,1196.7,82572.3
01047,2007,67,648.1,43422.700000000004
01047,2008,39,449.0,17511.0
01047,2009,9,44.3,398.7
01047,2010,45,288.7,12991.5
01047,2011,25,131.5,3287.5
01047,2012,17,123.0,2091.0
01047,2013,8,35.8,286.4
01047,2014,22,604.3,13294.599999999999
01047,2015,27,337.95,9124.65
01047,2016,33,132.9,4385.7
01047,2017,23,87.3,2007.8999999999999
01047,2018,9,14.1,126.89999999999999
01047,2019,45,95.3,4288.5
01047,2020,10,89.5,895.0
01049,2003,11,173.0,1903.0
01049,2004,18,319.5,5751.0
01049,2005,48,1280.0,61440.0
01049,2006,54,1513.0,81702.0
01049,2007,49,858.35,42059.15
01049,2008,17,198.1,3367.7
01049,2009,14,722.5,10115.0
01049,2010,46,498.5,22931.0
01049,2011,24,844.8,20275.199999999997
01049,2012,20,205.0,4100.0
01049,2013,15,183.3,2749.5
01049,2014,69,658.55,45439.95
01049,2015,113,763.4300000000001,86267.59000000001
01049,2016,290,3401.5699999999997,986455.2999999999
01049,2017,53,203.45,10782.849999999999
01049,2018,31,126.81,3931.11
01049,2019,49,753.8,36936.2
01049,2020,16,60.4,966.4
01051,2003,38,99.53999999999999,3782.5199999999995
01051,2004,68,364.4,24779.199999999997
01051,2005,28,223.6,6260.8
01051,2006,16,246.70000000000002,3947.2000000000003
01051,2007,40,730.7,29228.0
01051,2008,17,138.4,2352.8
01051,2009,5,35.7,178.5
01051,2010,8,14.5,116.0
01051,2011,23,206.1,4740.3
01051,2012,11,25.0,275.0
01051,2013,13,209.2,2719.6
01051,2014,28,214.4,6003.2
01051,2015,12,106.5,1278.0
01051,2016,19,225.5,4284.5
01051,2017,4,128.0,512.0
01051,2018,1,0.1,0.1
01051,2019,5,38.0,190.0
01051,2020,5,28.0,140.0
01053,2003,47,469.6,22071.2
01053,2004,78,952.8,74318.4
01053,2005,73,2191.8,160001.40000000002
01053,2006,202,2624.7,530189.3999999999
01053,2007,97,695.6,67473.2
01053,2008,80,857.4,68592.0
01053,2009,45,684.45,30800.250000000004
01053,2010,46,298.2,13717.199999999999
01053,2011,64,3160.4,202265.6
01053,2012,47,1064.5,50031.5
01053,2013,44,634.4,27913.6
01053,2014,59,743.0,43837.0
01053,2015,58,1480.25,85854.5
01053,2016,47,982.25,46165.75
01053,2017,26,1175.5,30563.0
01053,2018,40,1004.81,40192.399999999994
01053,2019,34,166.75,5669.5
01053,2020,19,162.0,3078.0
01055,2003,15,90.6,1359.0
01055,2004,44,990.0,43560.0
01055,2005,37,541.0,20017.0
01055,2006,46,571.0,26266.0
01055,2007,68,1653.1,112410.79999999999
01055,2008,20,160.0,3200.0
01055,2009,14,107.0,1498.0
01055,2010,22,259.2,5702.4
01055,2011,16,377.0,6032.0
01055,2012,18,273.0,4914.0
01055,2013,22,119.0,2618.0
01055,2014,25,203.1,5077.5
01055,2015,12,54.4,652.8
01055,2016,37,921.26,34086.62
01055,2017,6,51.0,306.0
01055,2018,4,27.0,108.0
01055,2019,9,36.75,330.75
01055,2020,3,8.0,24.0
01057,2003,12,100.25,1203.0
01057,2004,13,100.0,1300.0
01057,2005,12,166.5,1998.0
01057,2006,36,467.45,16828.2
01057,2007,45,248.55,11184.75
01057,2008,13,108.2,1406.6000000000001
01057,2009,8,130.75,1046.0
01057,2010,29,719.8,20874.199999999997
01057,2011,18,113.9,2050.2000000000003
01057,2012,16,44.0,704.0
01057,2013,10,36.5,365.0
01057,2014,25,334.8,8370.0
01057,2015,11,128.3,1411.3000000000002
01057,2016,22,230.1,5062.2
01057,2017,20,125.9,2518.0
01057,2018,12,401.0,4812.0
01057,2019,16,85.1,1361.6
01057,2020,8,51.25,410.0
01059,2003,21,256.6,5388.6
01059,2004,26,265.5,6903.0
01059,2005,37,632.5,23402.5
01059,2006,29,656.5,19038.5
01059,2007,62,877.75,54420.5
01059,2008,14,133.25,1865.5
01059,2009,12,77.75,933.0
01059,2010,22,550.35,12107.7
01059,2011,11,110.6,1216.6
01059,2012,31,694.5,21529.5
01059,2013,14,318.5,4459.0
01059,2014,31,1543.2,47839.200000000004
01059,2015,18,140.8,2534.4
01059,2016,28,204.25,5719.0
01059,2017,13,71.0,923.0
01059,2018,14,83.0,1162.0
01059,2019,7,32.0,224.0
01059,2020,3,14.5,43.5
01061,2003,8,52.7,421.6
01061,2004,6,58.0,348.0
01061,2005,8,59.5,476.0
01061,2006,14,158.9,2224.6
01061,2007,14,91.0,1274.0
01061,2008,10,103.2,1032.0
01061,2009,8,196.1,1568.8
01061,2010,14,242.85,3399.9
01061,2011,26,284.5,7397.0
01061,2012,8,103.0,824.0
01061,2013,15,231.45,3471.75
01061,2014,19,59.95,1139.05
01061,2015,17,316.5,5380.5
01061,2016,19,62.95,1196.05
01061,2017,12,142.3,1707.6000000000001
01061,2018,9,116.1,1044.8999999999999
01061,2019,20,114.79,2295.8
01061,2020,8,26.25,210.0
01063,2003,6,40.0,240.0
01063,2004,17,112.45,1911.65
01063,2005,29,128.5,3726.5
01063,2006,52,456.2,23722.399999999998
01063,2007,33,370.6,12229.800000000001
01063,2008,21,214.0,4494.0
01063,2009,12,104.45,1253.4
01063,2010,9,127.1,1143.8999999999999
01063,2011,11,136.25,1498.75
01063,2012,9,148.5,1336.5
01063,2013,11,148.8,1636.8000000000002
01063,2014,19,225.3,4280.7
01063,2015,28,480.3,13448.4
01063,2016,34,130.83,4448.22
01063,2017,13,72.3,939.9
01063,2018,7,20.3,142.1
01063,2019,17,39.45,670.6500000000001
01063,2020,6,5.0,30.0
01065,2003,18,56.8,1022.4
01065,2004,31,225.3,6984.3
01065,2005,38,168.4,6399.2
01065,2006,48,443.5,21288.0
01065,2007,27,101.2,2732.4
01065,2008,33,66.25,2186.25
01065,2009,21,94.5,1984.5
01065,2010,32,106.4,3404.8
01065,2011,28,132.85,3719.7999999999997
01065,2012,21,205.6,4317.599999999999
01065,2013,12,40.35,484.20000000000005
01065,2014,43,337.0,14491.0
01065,2015,38,220.88,8393.44
01065,2016,22,82.45,1813.9
01065,2017,8,9.45,75.6
01065,2018,8,15.55,124.4
01065,2019,8,442.1,3536.8
01065,2020,9,8.95,80.55
01067,2003,6,72.6,435.59999999999997
01067,2004,23,221.85,5102.55
01067,2005,3,245.5,736.5
01067,2006,13,119.1,1548.3
01067,2007,10,29.4,294.0
01067,2008,9,63.7,573.3000000000001
01067,2009,3,155.0,465.0
01067,2010,9,114.4,1029.6000000000001
01067,2011,15,314.1,4711.5
01067,2012,16,114.5,1832.0
01067,2013,11,74.1,815.0999999999999
01067,2014,14,59.25,829.5
01067,2015,8,40.1,320.8
01067,2016,51,135.3,6900.3
01067,2017,13,165.3,2148.9
01067,2018,7,9.3,65.10000000000001
01067,2019,21,90.3,1896.3
01067,2020,12,50.5,606.0
01069,2003,5,53.3,266.5
01069,2004,12,57.3,687.5999999999999
01069,2005,5,42.0,210.0
01069,2006,12,120.95,1451.4
01069,2007,25,207.15,5178.75
01069,2008,9,51.7,465.3
01069,2009,5,63.1,315.5
01069,2010,12,152.35,1828.1999999999998
01069,2011,22,253.20000000000002,5570.400000000001
01069,2012,7,72.5,507.5
01069,2013,4,27.1,108.4
01069,2014,8,136.85,1094.8
01069,2015,8,3.4,27.2
01069,2016,38,67.15,2551.7000000000003
01069,2017,10,137.55,1375.5
01069,2018,12,86.0,1032.0
01069,2019,20,79.9,1598.0
01069,2020,9,79.3,713.6999999999999
01071,2003,19,354.5,6735.5
01071,2004,31,903.25,28000.75
01071,2005,36,498.3,17938.8
01071,2006,33,1144.5,37768.5
01071,2007,52,2958.5,153842.0
01071,2008,15,181.0,2715.0
01071,2009,10,260.5,2605.0
01071,2010,16,263.0,4208.0
01071,2011,12,254.0,3048.0
01071,2012,8,301.0,2408.0
01071,2013,19,163.8,3112.2000000000003
01071,2014,27,357.09999999999997,9641.699999999999
01071,2015,38,172.05,6537.900000000001
01071,2016,83,573.8100000000001,47626.23
01071,2017,5,45.0,225.0
01071,2018,7,103.5,724.5
01071,2019,25,195.2,4880.0
01071,2020,4,17.0,68.0
01073,2003,50,282.0,14100.0
01073,2004,55,701.8,38599.0
01073,2005,67,561.9,37647.299999999996
01073,2006,108,875.2,94521.6
01073,2007,106,917.3,97233.79999999999
