ZIP_CODE,CITY_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,STATE_CODE,EXPECTED_ANNUAL_LOSS,RESILIENCE_SCORE,SOCIAL_VULNERABILITY_SCORE,AVG_CURRENT_COST_INSURANCE,AVG_COST_RISK_BASED_INSURANCE,AVG_LISTING_PRICE_REALTOR,CLIMATE_INVESTMENT_RISK_INDEX,UPDATED_AT
94531,Antioch,Contra Costa County,06013,CA,1148269.910369331,66.419998162,54.129069797,1028,2229,746439,54.35449725,2025-07-31
94530,El Cerrito,Contra Costa County,06013,CA,1121813.47700276,66.419998275,43.422047475,660,741,1281650,46.347121769,2025-07-31
94520,Concord,Contra Costa County,06013,CA,2806510.548818813,66.419998235,76.428024834,1032,3401,452031,40.878671232,2025-07-31
94509,Antioch,Contra Costa County,06013,CA,1540813.5418214,66.419998122,80.490941382,1191,1814,548457,44.233315406,2025-07-31
94521,Concord,Contra Costa County,06013,CA,1343919.153955455,66.419998142,39.685946606,1031,1333,788366,58.172367476,2025-07-31
94565,Pittsburg,Contra Costa County,06013,CA,1458514.277296341,66.41999799,71.714023345,1032,1648,609889,44.284389183,2025-07-31
94804,Richmond,Contra Costa County,06013,CA,1903221.595500435,66.419998215,78.32051918,707,942,612662,37.221031488,2025-07-31
94526,Danville,Contra Costa County,06013,CA,3118065.557253886,66.419998242,19.323039848,1205,2683,2104586,54.851506873,2025-07-31
94547,Hercules,Contra Costa County,06013,CA,1352899.92400591,66.419998149,37.081110975,732,1213,792559,58.319827523,2025-07-31
94517,Clayton,Contra Costa County,06013,CA,1364900.378940541,66.419998235,15.197418738,1585,4591,1150021,64.988259448,2025-07-31
94563,Orinda,Contra Costa County,06013,CA,2987696.591906599,66.422435475,14.549495671,823,1510,2440323,55.877424663,2025-07-31
94596,Walnut Creek,Contra Costa County,06013,CA,3189466.516254062,66.419998222,40.067697301,1137,1768,1030205,42.659859296,2025-07-31
94514,Byron,Contra Costa County,06013,CA,1108777.031959892,67.307666631,71.385794986,821,1854,2870089,42.951765373,2025-07-31
94505,Discovery Bay,Contra Costa County,06013,CA,887958.01603332,66.531642939,16.108590475,776,2605,962198,56.7554521,2025-07-31
94582,San Ramon,Contra Costa County,06013,CA,1935358.738593011,66.419998235,24.830161329,1028,2229,1486050,57.722307219,2025-07-31
94513,Brentwood,Contra Costa County,06013,CA,1240365.756860367,66.419998036,38.437721649,883,1792,919030,54.336007047,2025-07-31
94806,San Pablo,Contra Costa County,06013,CA,1808023.411606496,66.419998096,82.70116296,1122,1271,603329,39.94631132,2025-07-31
95543,Gasquet,Del Norte County,06015,CA,2243049.558758524,17.620000839,53.439998627,1028,2229,816000,,2025-07-31
95531,Crescent City,Del Norte County,06015,CA,1754271.768635116,17.620000857,75.684480971,1416,3276,516419,24.0258551,2025-07-31
95548,Klamath,Del Norte County,06015,CA,1038142.6635821,17.620000839,80.440002441,1162,2368,371667,18.746198563,2025-07-31
95567,Smith River,Del Norte County,06015,CA,2243049.558758524,17.620000839,53.439998627,1040,4904,977139,21.629682785,2025-07-31
95667,Placerville,El Dorado County,06017,CA,739016.09082887,55.569999639,50.12936107,925,2499,785695,47.358692759,2025-07-31
95634,Georgetown,El Dorado County,06017,CA,636037.773257142,55.56999975,44.271774873,1028,2229,531059,47.129338665,2025-07-31
96142,Tahoma,El Dorado County,06017,CA,405632.291981407,68.590000153,15.687631763,1028,2229,2673920,46.652385046,2025-07-31
95726,Pollock Pines,El Dorado County,06017,CA,1133652.293681074,55.569999639,47.60773898,1028,2229,474045,46.998030574,2025-07-31
95762,El Dorado Hills,El Dorado County,06017,CA,1192314.704679163,55.569999656,25.507269962,677,1290,1269736,56.99838295,2025-07-31
95682,Shingle Springs,El Dorado County,06017,CA,900663.300930796,55.56999975,34.849550093,1094,1692,856968,50.398747517,2025-07-31
96150,South Lake Tahoe,El Dorado County,06017,CA,1144159.0157728,55.569999584,47.623075827,1077,2394,949419,35.317453351,2025-07-31
93622,Firebaugh,Fresno County,06019,CA,758643.991626892,19.30398547,88.54544579,901,1029,406000,31.699349288,2025-07-31
93657,Sanger,Fresno County,06019,CA,406065.849858526,19.840000143,66.878490013,1001,2211,930766,29.664311078,2025-07-31
93722,Fresno,Fresno County,06019,CA,319069.783701087,19.84000018,76.886822427,760,1004,514282,31.543342836,2025-07-31
93619,Clovis,Fresno County,06019,CA,569791.394380183,19.840000157,26.79384636,775,1119,733050,45.23302874,2025-07-31
93725,Fresno,Fresno County,06019,CA,893815.788668984,19.840000212,85.875235956,706,759,459136,22.691570669,2025-07-31
93654,Reedley,Fresno County,06019,CA,300350.589861287,19.56295227,85.158045487,1537,2329,438362,31.313258375,2025-07-31
93630,Kerman,Fresno County,06019,CA,512723.551026167,19.837265093,79.886917124,1028,2229,487910,26.49951737,2025-07-31
93726,Fresno,Fresno County,06019,CA,281306.855242615,19.840000149,89.728920432,552,798,320566,24.785972674,2025-07-31
93626,Friant,Fresno County,06019,CA,2176883.517157014,18.304404724,47.497470033,1028,2229,1075746,31.29729885,2025-07-31
93646,Orange Cove,Fresno County,06019,CA,432136.563217344,19.445633978,97.724829071,775,838,574863,25.887679437,2025-07-31
93242,Laton,Fresno County,06019,CA,471982.704872397,18.665946071,81.764088328,865,1069,1392475,14.857394248,2025-07-31
93210,Coalinga,Fresno County,06019,CA,1997939.374418012,19.84080854,92.521225962,1034,1431,343765,14.956646732,2025-07-31
93656,Riverdale,Fresno County,06019,CA,1234030.773379833,19.268661789,87.060937635,696,821,529183,10.607766372,2025-07-31
93631,Kingsburg,Fresno County,06019,CA,394429.944526861,18.246509704,68.480895244,1204,2102,899936,31.175067675,2025-07-31
93711,Fresno,Fresno County,06019,CA,357241.303335811,19.840000212,53.403620887,703,937,656647,35.989209405,2025-07-31
93720,Fresno,Fresno County,06019,CA,272944.64731331,19.839543334,47.136797439,642,1169,567726,41.412713106,2025-07-31
93611,Clovis,Fresno County,06019,CA,278876.729253447,19.840000125,42.23250994,764,1105,576401,41.678584368,2025-07-31
95970,Princeton,Glenn County,06021,CA,1152499.913402579,18.078386737,58.231612043,725,851,201999,20.407329762,2025-07-31
95963,Orland,Glenn County,06021,CA,1245134.999953717,16.814595038,78.517039746,742,1266,547064,18.800700007,2025-07-31
95913,Artois,Glenn County,06021,CA,2514999.421058574,16.409999847,69.519996643,1028,2229,415000,22.213269813,2025-07-31
95943,Glenn,Glenn County,06021,CA,965237.052972773,16.409999847,42.582531634,689,890,499000,12.899055969,2025-07-31
