# Title: June - August 2000 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
WY-011,Crook County,Wyoming,83.8,113,3.6,80.2
WY-013,Fremont County,Wyoming,79.7,122,3.8,75.9
WY-015,Goshen County,Wyoming,87.4,120,4.4,83.1
WY-017,Hot Springs County,Wyoming,82,119,3.8,78.3
WY-019,Johnson County,Wyoming,82,121,4.2,77.8
WY-021,Laramie County,Wyoming,84.4,125,4.8,79.7
WY-023,Lincoln County,Wyoming,77,116,3.8,73.1
WY-025,Natrona County,Wyoming,83.9,125,4.3,79.6
WY-027,Niobrara County,Wyoming,87,116,3.8,83.2
WY-029,Park County,Wyoming,74,110,3.1,71
WY-031,Platte County,Wyoming,86.7,123,4.8,81.8
WY-033,Sheridan County,Wyoming,80.7,117,3.6,77.1
WY-035,Sublette County,Wyoming,74.5,115,3.2,71.2
WY-037,Sweetwater County,Wyoming,82.6,117,3.9,78.7
WY-039,Teton County,Wyoming,70.9,111,2.7,68.1
WY-041,Uinta County,Wyoming,78.4,120,3.9,74.5
WY-043,Washakie County,Wyoming,84.2,117,3.5,80.7
WY-045,Weston County,Wyoming,85.5,114,3.4,82
