yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2020,95842,4176839,5318,06067,4.33,1113.91,CALIFORNIA,8.0,0.0,9.27,0.5523641569616408,-4.04,94.0,7111.66,0.0,0.0,0.0,92219821,9.4,1.155,6067.0,20432.0,7342640000.0,1586727.0,785.415381722452
2021,95842,4559524,5389,06067,,,,,,,,,,,,,,,,,,,,,846.0797921692337
2018,95843,7149679,9128,06067,6.84,1023.33,CALIFORNIA,2.0,10000.0,48.63,0.4679184394048796,-0.29,198.0,601.29,0.0,0.0,0.0,90453770,3.9,1.15,6067.0,19125.0,5920015000.0,1539550.0,783.2689526730937
2019,95843,7927979,9508,06067,4.33,1067.68,CALIFORNIA,15.0,25000.0,252.0,0.5887146971506118,0.81,104.0,44.64,0.0,0.0,0.0,94135671,3.7,1.147,6067.0,20041.0,6436105000.0,1551660.0,833.8219394194363
2020,95843,8975151,9820,06067,4.33,1113.91,CALIFORNIA,8.0,0.0,9.27,0.5523641569616408,-4.04,94.0,7111.66,0.0,0.0,0.0,92219821,9.4,1.155,6067.0,20432.0,7342640000.0,1586727.0,913.9664969450101
2021,95843,9831045,9973,06067,,,,,,,,,,,,,,,,,,,,,985.7660683846385
2021,95864,11078361,7368,06067,,,,,,,,,,,,,,,,,,,,,1503.5777687296418
2018,95864,8404625,7099,06067,6.84,1023.33,CALIFORNIA,2.0,10000.0,48.63,0.4679184394048796,-0.29,198.0,601.29,0.0,0.0,0.0,90453770,3.9,1.15,6067.0,19125.0,5920015000.0,1539550.0,1183.9167488378646
2019,95864,9255373,7248,06067,4.33,1067.68,CALIFORNIA,15.0,25000.0,252.0,0.5887146971506118,0.81,104.0,44.64,0.0,0.0,0.0,94135671,3.7,1.147,6067.0,20041.0,6436105000.0,1551660.0,1276.9554359823398
2020,95864,10235199,7346,06067,4.33,1113.91,CALIFORNIA,8.0,0.0,9.27,0.5523641569616408,-4.04,94.0,7111.66,0.0,0.0,0.0,92219821,9.4,1.155,6067.0,20432.0,7342640000.0,1586727.0,1393.3023414102913
