FIPS,year,deaths,injuries,damage
12129.0,2004,0.0,0.0,150000
12129.0,2005,0.0,0.0,8200000
12129.0,2016,0.0,0.0,1200000
12129.0,2018,2.0,0.0,350000000
12129.0,2024,0.0,0.0,0
12131.0,2004,0.0,0.0,25000000
12131.0,2005,0.0,0.0,12750000
12133.0,2004,0.0,0.0,1500000
12133.0,2005,0.0,0.0,500000
12133.0,2018,4.0,0.0,400000000
13001.0,2024,0.0,0.0,0
13005.0,2024,0.0,0.0,0
13007.0,2005,0.0,0.0,100000
13007.0,2018,0.0,0.0,161000000
13009.0,2005,0.0,0.0,0
13011.0,2005,0.0,0.0,0
13013.0,2005,0.0,0.0,0
13015.0,2005,0.0,0.0,0
13015.0,2007,0.0,0.0,0
13017.0,2005,0.0,0.0,100000
13017.0,2024,0.0,0.0,220000000
13019.0,2005,0.0,0.0,100000
13019.0,2024,0.0,0.0,400000000
13021.0,2005,0.0,0.0,0
13023.0,2005,0.0,0.0,0
13023.0,2018,0.0,0.0,0
13027.0,2005,0.0,0.0,150000
13027.0,2023,0.0,0.0,5000000
13027.0,2024,0.0,0.0,220000000
13035.0,2005,0.0,0.0,0
13037.0,2005,0.0,0.0,300000
13037.0,2018,0.0,0.0,161000000
13045.0,2005,0.0,0.0,0
13045.0,2007,0.0,0.0,0
13047.0,2005,0.0,0.0,0
13047.0,2007,0.0,0.0,0
13051.0,2016,1.0,2.0,0
13053.0,2005,0.0,0.0,0
13055.0,2005,0.0,0.0,0
13055.0,2007,0.0,0.0,0
13057.0,2005,0.0,0.0,0
13057.0,2007,0.0,0.0,0
13059.0,2005,0.0,0.0,0
13061.0,2005,0.0,0.0,100000
13063.0,2005,0.0,0.0,0
13063.0,2007,0.0,0.0,0
13065.0,2024,2.0,2.0,0
13067.0,2005,0.0,0.0,0
13067.0,2007,0.0,0.0,0
13069.0,2024,2.0,0.0,0
13071.0,2005,0.0,0.0,1000000
13071.0,2024,2.0,0.0,210000000
13075.0,2005,0.0,0.0,100000
13075.0,2024,0.0,0.0,300000000
13077.0,2005,0.0,0.0,0
13077.0,2007,0.0,0.0,0
13079.0,2005,0.0,0.0,0
13081.0,2005,0.0,0.0,0
13081.0,2018,0.0,0.0,0
13083.0,2005,0.0,0.0,0
13083.0,2007,0.0,0.0,0
13085.0,2005,0.0,0.0,0
13085.0,2007,0.0,0.0,0
13087.0,2005,0.0,0.0,300000
13087.0,2018,0.0,0.0,800000000
13089.0,2005,0.0,0.0,0
13089.0,2007,0.0,0.0,0
13091.0,2005,0.0,0.0,0
13091.0,2018,0.0,0.0,0
13093.0,2005,0.0,0.0,0
13093.0,2018,0.0,0.0,0
13095.0,2005,0.0,0.0,500000
13095.0,2018,0.0,0.0,411000000
13097.0,2005,0.0,0.0,0
13097.0,2007,0.0,0.0,0
13099.0,2005,0.0,0.0,100000
13099.0,2018,0.0,0.0,650000000
13101.0,2024,0.0,0.0,0
13107.0,2005,0.0,0.0,0
13107.0,2024,0.0,0.0,0
13111.0,2005,0.0,0.0,0
13111.0,2007,0.0,0.0,0
13113.0,2005,0.0,0.0,0
13113.0,2007,0.0,0.0,0
13115.0,2005,0.0,0.0,0
13115.0,2007,0.0,0.0,0
13117.0,2005,0.0,0.0,0
13117.0,2007,0.0,0.0,0
13121.0,2005,0.0,0.0,0
13121.0,2007,0.0,0.0,0
13123.0,2005,0.0,0.0,0
13123.0,2007,0.0,0.0,0
13125.0,2005,0.0,0.0,0
13129.0,2005,0.0,0.0,0
13129.0,2007,0.0,0.0,0
13131.0,2005,0.0,0.0,300000
13131.0,2018,0.0,0.0,161000000
13133.0,2005,0.0,0.0,0
13135.0,2005,0.0,0.0,0
13135.0,2007,0.0,0.0,0
13139.0,2005,0.0,0.0,0
13139.0,2007,0.0,0.0,0
13141.0,2005,0.0,0.0,0
13143.0,2005,0.0,0.0,0
13143.0,2007,0.0,0.0,0
13145.0,2005,0.0,0.0,0
13145.0,2007,0.0,0.0,0
13149.0,2005,0.0,0.0,0
13149.0,2007,0.0,0.0,0
13151.0,2005,0.0,0.0,0
13151.0,2007,0.0,0.0,0
13153.0,2005,0.0,0.0,0
13155.0,2005,0.0,0.0,100000
13155.0,2024,0.0,0.0,220000000
13157.0,2005,0.0,0.0,0
13159.0,2005,0.0,0.0,0
13161.0,2024,4.0,0.0,0
13163.0,2005,0.0,0.0,0
13163.0,2024,0.0,0.0,0
13167.0,2005,0.0,0.0,0
13167.0,2024,0.0,8.0,0
13169.0,2005,0.0,0.0,0
13171.0,2005,0.0,0.0,0
13171.0,2007,0.0,0.0,0
13173.0,2005,0.0,0.0,100000
13173.0,2023,0.0,0.0,1000000
13173.0,2024,0.0,0.0,400000000
13175.0,2005,0.0,0.0,0
13175.0,2018,0.0,0.0,1200000
13175.0,2024,4.0,0.0,0
13177.0,2005,0.0,0.0,100000
13177.0,2018,0.0,0.0,116000000
13185.0,2005,0.0,0.0,100000
13185.0,2023,1.0,7.0,20000000
13185.0,2024,4.0,154.0,1200000000
13187.0,2005,0.0,0.0,0
13187.0,2007,0.0,0.0,0
13193.0,2005,0.0,0.0,0
13195.0,2005,0.0,0.0,0
13197.0,2005,0.0,0.0,0
13199.0,2005,0.0,0.0,0
13199.0,2007,0.0,0.0,0
13201.0,2005,0.0,0.0,100000
13201.0,2018,0.0,0.0,750000000
13205.0,2005,0.0,0.0,250000
13205.0,2018,0.0,0.0,161000000
13207.0,2005,0.0,0.0,0
13207.0,2007,0.0,0.0,0
13209.0,2005,0.0,0.0,0
13209.0,2024,0.0,0.0,0
13211.0,2005,0.0,0.0,0
13213.0,2005,0.0,0.0,0
13215.0,2005,0.0,0.0,0
13217.0,2005,0.0,0.0,0
13219.0,2005,0.0,0.0,0
13221.0,2005,0.0,0.0,0
13223.0,2005,0.0,0.0,0
13223.0,2007,0.0,0.0,0
13225.0,2005,0.0,0.0,0
13227.0,2005,0.0,0.0,0
13227.0,2007,0.0,0.0,0
13231.0,2005,0.0,0.0,0
13231.0,2007,0.0,0.0,0
13233.0,2005,0.0,0.0,0
13233.0,2007,0.0,0.0,0
13235.0,2005,0.0,0.0,0
13235.0,2018,0.0,0.0,0
13237.0,2005,0.0,0.0,0
13239.0,2005,0.0,0.0,100000
13243.0,2005,0.0,0.0,150000
13247.0,2005,0.0,0.0,0
13247.0,2007,0.0,0.0,0
13249.0,2005,0.0,0.0,0
13253.0,2005,0.0,0.0,250000
13253.0,2018,1.0,0.0,800000000
13255.0,2005,0.0,0.0,0
13255.0,2007,0.0,0.0,0
13259.0,2005,0.0,0.0,0
13261.0,2005,0.0,0.0,0
13261.0,2018,0.0,0.0,0
13263.0,2005,0.0,0.0,0
13265.0,2005,0.0,0.0,0
13269.0,2005,0.0,0.0,0
13271.0,2005,0.0,0.0,0
13271.0,2024,0.0,0.0,0
13273.0,2005,0.0,0.0,250000
13273.0,2018,0.0,0.0,116000000
13275.0,2005,0.0,0.0,1000000
13275.0,2024,0.0,0.0,210000000
13277.0,2005,0.0,0.0,200000
13277.0,2024,0.0,0.0,220000000
13279.0,2005,0.0,0.0,0
13279.0,2024,0.0,0.0,0
13281.0,2005,0.0,0.0,0
13281.0,2007,0.0,0.0,0
13283.0,2005,0.0,0.0,0
13283.0,2024,0.0,0.0,0
13285.0,2005,0.0,0.0,0
13285.0,2007,0.0,0.0,0
13287.0,2005,0.0,0.0,100000
13287.0,2024,0.0,0.0,220000000
13289.0,2005,0.0,0.0,0
13291.0,2005,0.0,0.0,0
13291.0,2007,0.0,0.0,0
13293.0,2005,0.0,0.0,0
13293.0,2007,0.0,0.0,0
13295.0,2005,0.0,0.0,0
13295.0,2007,0.0,0.0,0
13297.0,2005,0.0,0.0,0
13301.0,2005,0.0,0.0,0
13301.0,2024,0.0,0.0,0
13303.0,2005,0.0,0.0,0
13303.0,2024,4.0,0.0,0
13307.0,2005,0.0,0.0,0
13309.0,2005,0.0,0.0,0
13309.0,2024,0.0,0.0,0
13311.0,2005,0.0,0.0,0
13311.0,2007,0.0,0.0,0
13313.0,2005,0.0,0.0,0
13313.0,2007,0.0,0.0,0
13315.0,2005,0.0,0.0,0
13315.0,2018,0.0,0.0,0
13317.0,2005,0.0,0.0,0
13319.0,2005,0.0,0.0,0
13319.0,2024,0.0,0.0,0
13321.0,2005,0.0,0.0,1750000
13321.0,2018,0.0,0.0,116000000
15003.0,2000,0.0,0.0,0
15003.0,2001,0.0,0.0,0
15003.0,2018,0.0,0.0,0
15009.0,2000,0.0,0.0,0
22001.0,2002,0.0,2.0,61500000
22001.0,2005,0.0,0.0,50000000
22001.0,2008,0.0,0.0,20000000
22001.0,2020,1.0,0.0,450000000
22003.0,2002,0.0,0.0,2500000
22003.0,2005,0.0,0.0,3000000
22003.0,2008,0.0,0.0,5000000
22003.0,2020,3.0,0.0,400000000
22005.0,2002,0.0,0.0,5540000
22005.0,2005,0.0,0.0,8400000
22005.0,2008,0.0,0.0,6740000
22005.0,2012,0.0,0.0,1115000
22005.0,2021,1.0,0.0,200000000
22007.0,2002,0.0,0.0,5540000
22007.0,2005,0.0,0.0,8500000
22007.0,2008,0.0,0.0,9750000
22007.0,2012,0.0,0.0,6504000
22007.0,2021,0.0,0.0,10000000
22007.0,2024,0.0,0.0,2000000
22009.0,2002,0.0,0.0,19000000
22009.0,2005,0.0,0.0,1000000
22009.0,2008,0.0,0.0,45000000
22011.0,2002,0.0,0.0,550000
22011.0,2005,0.0,0.0,5000000
22011.0,2007,0.0,0.0,200000
22011.0,2020,2.0,0.0,1000000000
22013.0,2005,0.0,0.0,0
22015.0,2005,0.0,0.0,0
22017.0,2005,0.0,0.0,0
22019.0,2002,0.0,0.0,3500000
22019.0,2005,1.0,0.0,1000000000
22019.0,2007,0.0,0.0,200000
22019.0,2020,13.0,0.0,7000000000
22023.0,2002,0.0,0.0,450000
22023.0,2005,0.0,0.0,2750000000
22023.0,2008,0.0,0.0,45000000
22023.0,2020,0.0,0.0,750000000
