zip,county_fips5,yr,hpi_change,hpi,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,unemployment_rate,prop_rate,county_fips,home_purchase_per_cap,amt_purchase_per_cap,Earned Prem,Earned Exp,prem_per_unit
90027,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90028,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90029,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90030,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90031,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90032,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90033,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90034,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90035,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90036,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90037,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90038,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90039,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90040,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90041,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90042,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90043,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90044,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90045,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90046,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90047,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90048,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90049,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90050,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90051,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90052,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90053,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90054,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90055,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90056,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90057,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90058,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90059,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90060,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90061,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90062,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90063,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90064,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90065,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90066,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90067,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90068,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90069,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90070,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
