cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
10740,"Albuquerque, NM",35061,Valencia County,New Mexico,"Albuquerque, NM",10740,2023,328.82375,308.3725,20.451250000000016,6.631995395179535
10740,"Albuquerque, NM",35061,Valencia County,New Mexico,"Albuquerque, NM",10740,2024,344.03125,328.82375,15.207499999999982,4.624818006606879
10740,"Albuquerque, NM",35061,Valencia County,New Mexico,"Albuquerque, NM",10740,2025,357.65999999999997,344.03125,13.628749999999968,3.961486056862551
10780,"Alexandria, LA",22043,Grant Parish,Louisiana,"Alexandria, LA",10780,2022,252.82,234.16,18.659999999999997,7.968910146908104
10780,"Alexandria, LA",22043,Grant Parish,Louisiana,"Alexandria, LA",10780,2023,266.395,252.82,13.574999999999989,5.369432798038121
10780,"Alexandria, LA",22043,Grant Parish,Louisiana,"Alexandria, LA",10780,2024,274.3775,266.395,7.982500000000016,2.9964901743651406
10780,"Alexandria, LA",22043,Grant Parish,Louisiana,"Alexandria, LA",10780,2025,276.95000000000005,274.3775,2.5725000000000477,0.9375768785705896
10780,"Alexandria, LA",22079,Rapides Parish,Louisiana,"Alexandria, LA",10780,2022,252.82,234.16,18.659999999999997,7.968910146908104
10780,"Alexandria, LA",22079,Rapides Parish,Louisiana,"Alexandria, LA",10780,2023,266.395,252.82,13.574999999999989,5.369432798038121
10780,"Alexandria, LA",22079,Rapides Parish,Louisiana,"Alexandria, LA",10780,2024,274.3775,266.395,7.982500000000016,2.9964901743651406
10780,"Alexandria, LA",22079,Rapides Parish,Louisiana,"Alexandria, LA",10780,2025,276.95000000000005,274.3775,2.5725000000000477,0.9375768785705896
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,2022,268.49,235.39,33.10000000000002,14.061769828794768
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,290.12125,268.49,21.631249999999966,8.056631531900615
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,312.9325,290.12125,22.81125000000003,7.862660870239613
10900,"Allentown-Bethlehem-Easton, PA-NJ",34041,Warren County,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",10900,2025,330.54499999999996,312.9325,17.612499999999955,5.628210556589663
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2022,268.49,235.39,33.10000000000002,14.061769828794768
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2023,290.12125,268.49,21.631249999999966,8.056631531900615
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,312.9325,290.12125,22.81125000000003,7.862660870239613
10900,"Allentown-Bethlehem-Easton, PA-NJ",42025,Carbon County,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",10900,2025,330.54499999999996,312.9325,17.612499999999955,5.628210556589663
