FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,STATE
01023,2010,26,340.75,AL
01023,2011,68,357.75,AL
01023,2012,24,211.0,AL
01023,2013,20,137.56,AL
01023,2014,37,185.55,AL
01023,2015,38,488.45,AL
01023,2016,32,518.47,AL
01023,2017,13,72.75,AL
01023,2018,8,191.5,AL
01023,2019,17,287.6,AL
01023,2020,3,11.0,AL
01025,2003,7,22.3,AL
01025,2004,34,282.3,AL
01025,2005,20,124.5,AL
01025,2006,50,821.05,AL
01025,2007,24,134.1,AL
01025,2008,25,120.45,AL
01025,2009,39,240.7,AL
01025,2010,25,343.3,AL
01025,2011,22,642.35,AL
01025,2012,13,174.5,AL
01025,2013,15,293.8,AL
01025,2014,34,292.6,AL
01025,2015,36,439.8,AL
01025,2016,38,207.2,AL
01025,2017,17,119.55,AL
01025,2018,6,169.6,AL
01025,2019,20,90.95,AL
01025,2020,13,62.05,AL
01027,2003,20,193.75,AL
01027,2004,41,1023.75,AL
01027,2005,31,556.2,AL
01027,2006,48,1410.45,AL
01027,2007,71,1998.8,AL
01027,2008,18,411.0,AL
01027,2009,25,694.55,AL
01027,2010,26,263.1,AL
01027,2011,20,386.4,AL
01027,2012,29,507.28999999999996,AL
01027,2013,29,1092.6,AL
01027,2014,24,534.4,AL
01027,2015,24,475.15,AL
01027,2016,65,6714.2699999999995,AL
01027,2017,19,179.85,AL
01027,2018,15,161.6,AL
01027,2019,23,304.78000000000003,AL
01027,2020,9,262.2,AL
01029,2003,53,1618.5,AL
01029,2004,111,3417.25,AL
01029,2005,68,2635.5,AL
01029,2006,122,4693.65,AL
01029,2007,97,1848.83,AL
01029,2008,39,1090.75,AL
01029,2009,32,931.55,AL
01029,2010,37,1176.0,AL
01029,2011,32,1401.0,AL
01029,2012,54,1746.0,AL
01029,2013,30,1450.25,AL
01029,2014,31,853.9,AL
01029,2015,20,450.2,AL
01029,2016,87,1690.87,AL
01029,2017,21,1215.2,AL
01029,2018,23,238.8,AL
01029,2019,33,1113.7,AL
01029,2020,21,452.25,AL
01031,2003,2,3.5,AL
01031,2004,10,130.0,AL
01031,2005,12,94.3,AL
01031,2006,22,196.4,AL
01031,2007,17,138.0,AL
01031,2008,10,55.4,AL
01031,2009,9,129.6,AL
01031,2010,9,202.0,AL
01031,2011,17,302.85,AL
01031,2012,19,332.0,AL
01031,2013,17,159.45000000000002,AL
01031,2014,8,76.3,AL
01031,2015,10,45.6,AL
01031,2016,25,105.6,AL
01031,2017,13,118.39,AL
01031,2018,5,30.5,AL
01031,2019,14,73.0,AL
01031,2020,7,81.0,AL
01033,2003,24,44.2,AL
01033,2004,30,154.34,AL
01033,2005,39,189.62,AL
01033,2006,82,517.1,AL
01033,2007,51,852.11,AL
01033,2008,24,86.92,AL
01033,2009,28,126.65,AL
01033,2010,10,62.5,AL
01033,2011,10,199.0,AL
01033,2012,14,264.5,AL
01033,2013,10,27.4,AL
01033,2014,18,64.75,AL
01033,2015,25,165.35,AL
01033,2016,55,249.32,AL
01033,2017,19,153.6,AL
01033,2018,1,10.0,AL
01033,2019,7,25.0,AL
01033,2020,2,16.0,AL
01035,2003,41,326.90000000000003,AL
01035,2004,76,1413.4,AL
01035,2005,49,367.9,AL
01035,2006,108,1892.4,AL
01035,2007,62,1136.7,AL
01035,2008,42,610.8,AL
01035,2009,35,400.8,AL
01035,2010,42,922.15,AL
01035,2011,46,872.25,AL
01035,2012,24,446.5,AL
01035,2013,25,565.2,AL
01035,2014,43,589.7,AL
01035,2015,49,1006.1999999999999,AL
01035,2016,66,449.06,AL
01035,2017,36,1138.85,AL
01035,2018,25,114.6,AL
01035,2019,31,279.15,AL
01035,2020,19,128.2,AL
01037,2003,15,148.5,AL
01037,2004,47,608.5,AL
01037,2005,21,255.75,AL
01037,2006,37,1216.6,AL
01037,2007,46,1184.15,AL
01037,2008,21,365.8,AL
01037,2009,17,435.6,AL
01037,2010,27,520.42,AL
01037,2011,27,318.5,AL
01037,2012,29,383.0,AL
01037,2013,17,143.8,AL
01037,2014,21,300.3,AL
01037,2015,25,152.1,AL
01037,2016,57,1261.8500000000001,AL
01037,2017,21,214.9,AL
01037,2018,16,147.75,AL
01037,2019,24,268.71,AL
01037,2020,12,72.0,AL
01039,2003,16,152.8,AL
01039,2004,31,1063.7,AL
01039,2005,25,280.5,AL
01039,2006,57,1193.22,AL
01039,2007,53,276.75,AL
01039,2008,22,126.93,AL
01039,2009,13,199.33,AL
01039,2010,8,116.25,AL
01039,2011,21,167.65,AL
01039,2012,21,119.5,AL
01039,2013,22,313.2,AL
01039,2014,37,581.75,AL
01039,2015,30,347.90000000000003,AL
01039,2016,53,367.92,AL
01039,2017,19,680.48,AL
01039,2018,21,577.73,AL
01039,2019,30,957.5,AL
01039,2020,15,63.4,AL
01041,2003,4,29.5,AL
01041,2004,19,83.1,AL
01041,2005,16,115.0,AL
01041,2006,21,479.8,AL
01041,2007,22,151.3,AL
01041,2008,18,131.8,AL
01041,2009,9,100.9,AL
01041,2010,18,134.25,AL
01041,2011,18,108.75,AL
01041,2012,20,94.5,AL
01041,2013,21,163.25,AL
01041,2014,19,192.15,AL
01041,2015,24,365.83,AL
01041,2016,34,91.25,AL
01041,2017,10,34.8,AL
01041,2018,11,52.7,AL
01041,2019,10,24.95,AL
01041,2020,6,31.35,AL
01043,2003,18,33.75,AL
01043,2004,19,58.7,AL
01043,2005,29,298.75,AL
01043,2006,38,206.65,AL
01043,2007,44,423.5,AL
01043,2008,16,87.8,AL
01043,2009,11,60.15,AL
01043,2010,39,754.4,AL
01043,2011,10,160.75,AL
01043,2012,19,807.5,AL
01043,2013,16,370.5,AL
01043,2014,38,523.2,AL
01043,2015,40,460.8,AL
01043,2016,59,1266.55,AL
01043,2017,11,183.0,AL
01043,2018,15,222.0,AL
01043,2019,24,217.1,AL
01043,2020,12,110.0,AL
01045,2003,1,4.0,AL
01045,2004,11,39.0,AL
01045,2005,4,19.5,AL
01045,2006,13,241.5,AL
01045,2007,14,63.5,AL
01045,2008,7,44.1,AL
01045,2009,5,78.2,AL
01045,2010,5,13.0,AL
01045,2011,16,56.7,AL
01045,2012,11,76.0,AL
01045,2013,7,18.5,AL
01045,2014,14,34.35,AL
01045,2015,8,35.72,AL
01045,2016,20,41.46,AL
01045,2017,14,67.15,AL
01045,2018,7,45.85,AL
01045,2019,8,50.2,AL
01045,2020,12,19.45,AL
01047,2003,8,48.199999999999996,AL
01047,2004,38,558.6,AL
01047,2005,58,260.8,AL
01047,2006,69,1196.7,AL
01047,2007,67,648.1,AL
01047,2008,39,449.0,AL
01047,2009,9,44.3,AL
01047,2010,45,288.7,AL
01047,2011,25,131.5,AL
01047,2012,17,123.0,AL
01047,2013,8,35.8,AL
01047,2014,22,604.3,AL
01047,2015,27,337.95,AL
01047,2016,33,132.9,AL
01047,2017,23,87.3,AL
01047,2018,9,14.1,AL
01047,2019,45,95.3,AL
01047,2020,10,89.5,AL
01049,2003,11,173.0,AL
01049,2004,18,319.5,AL
01049,2005,48,1280.0,AL
01049,2006,54,1513.0,AL
01049,2007,49,858.35,AL
01049,2008,17,198.1,AL
01049,2009,14,722.5,AL
01049,2010,46,498.5,AL
01049,2011,24,844.8,AL
01049,2012,20,205.0,AL
01049,2013,15,183.3,AL
01049,2014,69,658.55,AL
01049,2015,113,763.4300000000001,AL
01049,2016,290,3401.5699999999997,AL
01049,2017,53,203.45,AL
01049,2018,31,126.81,AL
01049,2019,49,753.8,AL
01049,2020,16,60.4,AL
01051,2003,38,99.53999999999999,AL
01051,2004,68,364.4,AL
01051,2005,28,223.6,AL
01051,2006,16,246.70000000000002,AL
01051,2007,40,730.7,AL
01051,2008,17,138.4,AL
01051,2009,5,35.7,AL
01051,2010,8,14.5,AL
01051,2011,23,206.1,AL
01051,2012,11,25.0,AL
01051,2013,13,209.2,AL
01051,2014,28,214.4,AL
01051,2015,12,106.5,AL
01051,2016,19,225.5,AL
01051,2017,4,128.0,AL
01051,2018,1,0.1,AL
01051,2019,5,38.0,AL
01051,2020,5,28.0,AL
01053,2003,47,469.6,AL
01053,2004,78,952.8,AL
01053,2005,73,2191.8,AL
01053,2006,202,2624.7,AL
01053,2007,97,695.6,AL
01053,2008,80,857.4,AL
01053,2009,45,684.45,AL
01053,2010,46,298.2,AL
01053,2011,64,3160.4,AL
01053,2012,47,1064.5,AL
01053,2013,44,634.4,AL
01053,2014,59,743.0,AL
01053,2015,58,1480.25,AL
01053,2016,47,982.25,AL
01053,2017,26,1175.5,AL
01053,2018,40,1004.81,AL
01053,2019,34,166.75,AL
01053,2020,19,162.0,AL
01055,2003,15,90.6,AL
01055,2004,44,990.0,AL
01055,2005,37,541.0,AL
01055,2006,46,571.0,AL
01055,2007,68,1653.1,AL
01055,2008,20,160.0,AL
01055,2009,14,107.0,AL
01055,2010,22,259.2,AL
01055,2011,16,377.0,AL
01055,2012,18,273.0,AL
01055,2013,22,119.0,AL
01055,2014,25,203.1,AL
01055,2015,12,54.4,AL
01055,2016,37,921.26,AL
01055,2017,6,51.0,AL
01055,2018,4,27.0,AL
01055,2019,9,36.75,AL
01055,2020,3,8.0,AL
01057,2003,12,100.25,AL
01057,2004,13,100.0,AL
01057,2005,12,166.5,AL
01057,2006,36,467.45,AL
01057,2007,45,248.55,AL
01057,2008,13,108.2,AL
01057,2009,8,130.75,AL
01057,2010,29,719.8,AL
01057,2011,18,113.9,AL
