county_fips5,feature_year,target_year,forecast_hpi,lower_bound_hpi,upper_bound_hpi,risk_margin_pct,step_ahead
01001,2024,2025,299.34225,295.15567,303.52884,1.3985951593556871,1
01003,2024,2025,651.0216,641.91644,660.1268,1.3985951593556871,1
01005,2024,2025,299.0159,294.8339,303.19794,1.3985951593556871,1
01007,2024,2025,277.44604,273.5657,281.32642,1.3985951593556871,1
01009,2024,2025,317.6362,313.19376,322.07864,1.3985951593556871,1
01013,2024,2025,261.99924,258.33493,265.66354,1.3985951593556871,1
01015,2024,2025,459.52258,453.09573,465.94946,1.3985951593556871,1
01017,2024,2025,338.7773,334.03918,343.51544,1.3985951593556871,1
01019,2024,2025,295.97427,291.8348,300.11377,1.3985951593556871,1
01021,2024,2025,355.70642,350.73154,360.68134,1.3985951593556871,1
01023,2024,2025,155.51086,153.3359,157.68584,1.3985951593556871,1
01025,2024,2025,287.1011,283.08572,291.1165,1.3985951593556871,1
01027,2024,2025,246.44516,242.9984,249.89194,1.3985951593556871,1
01029,2024,2025,321.9299,317.4274,326.4324,1.3985951593556871,1
01031,2024,2025,304.7586,300.49628,309.02097,1.3985951593556871,1
01033,2024,2025,383.15955,377.8007,388.5184,1.3985951593556871,1
01035,2024,2025,98.553116,97.17476,99.93148,1.3985951593556871,1
01037,2024,2025,165.1006,162.79152,167.4097,1.3985951593556871,1
01039,2024,2025,247.16028,243.7035,250.61707,1.3985951593556871,1
01041,2024,2025,196.18408,193.44026,198.92792,1.3985951593556871,1
01043,2024,2025,378.80035,373.50247,384.09827,1.3985951593556871,1
01045,2024,2025,272.4101,268.6002,276.22003,1.3985951593556871,1
01047,2024,2025,236.86154,233.54881,240.17429,1.3985951593556871,1
01049,2024,2025,345.80792,340.97147,350.64438,1.3985951593556871,1
01051,2024,2025,295.08066,290.95367,299.20764,1.3985951593556871,1
01053,2024,2025,341.2127,336.44052,345.9849,1.3985951593556871,1
01055,2024,2025,414.6836,408.88385,420.48337,1.3985951593556871,1
01057,2024,2025,266.3509,262.62573,270.07608,1.3985951593556871,1
01059,2024,2025,244.19276,240.7775,247.60805,1.3985951593556871,1
01061,2024,2025,255.08485,251.51726,258.65247,1.3985951593556871,1
01065,2024,2025,232.37982,229.12978,235.62988,1.3985951593556871,1
01067,2024,2025,297.95215,293.785,302.1193,1.3985951593556871,1
01069,2024,2025,422.06442,416.16147,427.9674,1.3985951593556871,1
01071,2024,2025,371.20795,366.01627,376.39966,1.3985951593556871,1
01073,2024,2025,672.5253,663.11945,681.9313,1.3985951593556871,1
01075,2024,2025,178.9583,176.4554,181.46121,1.3985951593556871,1
01077,2024,2025,402.68686,397.0549,408.31885,1.3985951593556871,1
01079,2024,2025,359.11575,354.09317,364.13834,1.3985951593556871,1
01081,2024,2025,621.70325,613.0081,630.3984,1.3985951593556871,1
01083,2024,2025,401.77545,396.15625,407.39468,1.3985951593556871,1
01085,2024,2025,117.67064,116.0249,119.31638,1.3985951593556871,1
01087,2024,2025,181.96228,179.41737,184.5072,1.3985951593556871,1
01089,2024,2025,771.8227,761.028,782.6174,1.3985951593556871,1
01091,2024,2025,277.65698,273.77368,281.54028,1.3985951593556871,1
01093,2024,2025,255.33592,251.76482,258.90704,1.3985951593556871,1
01095,2024,2025,362.62616,357.5545,367.69785,1.3985951593556871,1
01097,2024,2025,670.9695,661.5853,680.35364,1.3985951593556871,1
