county_fips5,yr,index_nsa_pred
1001,2021,207.76
1001,2022,237.0934486286163
1001,2023,275.98997534206114
1001,2024,320.17016104009355
1001,2025,367.2444931129129
1003,2021,474.46
1003,2022,554.4475502466856
1003,2023,640.9832253824263
1003,2024,734.4822217243607
1003,2025,846.4099211289292
1005,2021,239.23
1005,2022,259.1160110023247
1005,2023,284.6639598551921
1005,2024,321.72835927818613
1005,2025,368.39047479219084
1007,2021,182.76
1007,2022,187.37001383833754
1007,2023,192.15391542103384
1007,2024,197.34915398540625
1007,2025,202.06578970787058
1009,2021,231.14
1009,2022,270.61753363014435
1009,2023,315.9428368423356
1009,2024,361.92879851895145
1009,2025,416.55672967820885
1013,2021,173.04
1013,2022,176.21422858887004
1013,2023,179.31804508077974
1013,2024,184.94208704039573
1013,2025,192.1982616768403
1015,2021,341.62
1015,2022,390.91629180318614
1015,2023,452.28198458374516
1015,2024,522.5542900416647
1015,2025,613.8289375622352
1017,2021,246.85
1017,2022,283.07035153845186
1017,2023,323.95571046647035
1017,2024,369.835000582194
1017,2025,423.8878300528077
1019,2021,184.44
1019,2022,213.56433527415112
1019,2023,249.53797359644562
1019,2024,286.6389314047443
1019,2025,326.8778154634083
1021,2021,258.28
1021,2022,289.46289545063047
1021,2023,328.871407437257
1021,2024,372.42163300773024
1021,2025,424.99478459576693
1023,2021,140.32
1023,2022,142.50218505917337
1023,2023,143.91688362342367
1023,2024,145.74325370786934
1023,2025,146.2583095654789
1025,2021,227.99
1025,2022,247.6381256233192
1025,2023,272.6084341233368
1025,2024,305.06233434461603
1025,2025,339.11190224423
1027,2021,144.65
1027,2022,150.7064226618965
1027,2023,153.61954933077502
1027,2024,158.84493417944145
1027,2025,162.5403054885646
1029,2021,208.41
1029,2022,220.17436641880812
1029,2023,225.94851906505184
1029,2024,234.99938805565068
1029,2025,243.42159718590415
1031,2021,213.76
1031,2022,244.81530879210675
1031,2023,284.01780823532346
1031,2024,329.3569803299923
1031,2025,380.43673090724025
1033,2021,262.88
1033,2022,309.3010454926808
1033,2023,355.6897424661016
1033,2024,407.727405337999
1033,2025,473.5277894195114
1035,2021,107.53
1035,2022,111.83635264379411
1035,2023,112.68376017738056
1035,2024,112.72789957648529
1035,2025,111.73247457043558
1037,2021,141.91
1037,2022,143.91882362055074
1037,2023,147.57501909692087
1037,2024,150.81532727370936
1037,2025,151.4109848252298
1039,2021,167.84
1039,2022,184.44309464879075
1039,2023,213.15211309075565
1039,2024,248.5063557467916
1039,2025,286.04148414925487
1041,2021,168.02
1041,2022,169.57156950336224
1041,2023,172.06142558479843
1041,2024,173.87650884509245
1041,2025,175.1984008597792
1043,2021,265.42
1043,2022,309.90804001122854
1043,2023,355.84367155183253
1043,2024,410.38151087845563
1043,2025,477.5039831829526
1045,2021,182.97
1045,2022,198.16763797947877
1045,2023,225.59719445190242
1045,2024,262.8709845593144
1045,2025,307.8721883597995
1047,2021,173.12
1047,2022,179.66082663864182
1047,2023,185.74806040636446
1047,2024,192.68012126967264
1047,2025,200.73497049154554
1049,2021,230.27
1049,2022,268.4626695360513
1049,2023,309.95684470700985
1049,2024,358.77223750035415
1049,2025,419.01144976609083
1051,2021,215.64
1051,2022,248.81045560525033
1051,2023,291.0445615490471
1051,2024,340.7505570533264
1051,2025,400.0013482787999
1053,2021,252.79
1053,2022,282.38519752223004
1053,2023,319.69787050528663
1053,2024,366.37170148780086
1053,2025,424.2897897263806
1055,2021,295.29
1055,2022,343.37768598772345
1055,2023,395.9300809285461
1055,2024,463.46769154869605
1055,2025,549.8725996583486
1057,2021,207.49
1057,2022,217.93696772202932
1057,2023,221.86855525389902
1057,2024,227.3302909460855
1057,2025,230.43988106333452
1059,2021,163.01
1059,2022,169.78557573731212
1059,2023,175.79743812415515
1059,2024,182.27761682755647
1059,2025,189.556300465351
