state,feature,importance_mean,importance_std,type
LOUISIANA,fire_frequency_roll3,0.003817832038379787,0.0008840975037306799,climate
LOUISIANA,hurricane_impact_roll3,-7.400772423141744e-05,0.00024239911509178747,climate
LOUISIANA,flood_frequency_cumsum,0.0016663501591070106,0.005795298497541716,climate
LOUISIANA,fire_frequency_cumsum,0.010410880692628799,0.00271931350485615,climate
LOUISIANA,hurricane_impact_cumsum,0.31515638162449644,0.04737479393726403,climate
LOUISIANA,heat_x_unemployment,0.0004004273156252514,0.0003572445860609144,climate
LOUISIANA,drought_x_gdp,0.0006850408728875212,0.0005138804828587345,climate
LOUISIANA,flood_x_proprate,0.0,0.0,climate
LOUISIANA,fire_x_population,-6.145256166417701e-05,0.00013910732511902585,climate
LOUISIANA,climate_stress_x_avgprice,-8.907899977549372e-05,0.00022514684206778019,climate
ARKANSAS,real_gdp,0.30596365506043705,0.022897985981861844,economic/context
ARKANSAS,unemployment_rate,0.001376332949433845,0.001188785779276989,economic/context
ARKANSAS,prop_rate,0.004552991236114312,0.0025013054907854896,economic/context
ARKANSAS,total_home_purchase,-0.0010461481220914726,0.0007505835872256349,economic/context
ARKANSAS,total_amt_purchase,0.02226142571674482,0.005425855320966304,economic/context
ARKANSAS,total_population,0.6523995295251438,0.049620730527625924,economic/context
ARKANSAS,gdp_per_capita,0.06184981466606053,0.00840579687617369,economic/context
ARKANSAS,avg_home_price,0.010250583813616576,0.002799851335149522,economic/context
ARKANSAS,purchase_per_capita,-0.002529597954331053,0.0018773944583818552,economic/context
ARKANSAS,log_gdp,0.0,0.0,economic/context
ARKANSAS,log_population,0.0,0.0,economic/context
ARKANSAS,log_amt_purchase,0.0,0.0,economic/context
ARKANSAS,yr_centered,0.0,0.0,economic/context
ARKANSAS,yr_sq,2.946312840779175e-06,1.870681334636174e-05,economic/context
ARKANSAS,flood_frequency,-0.0001945468450510468,0.0004931431171684298,climate
ARKANSAS,flood_property_damage,-0.00015215053441135494,0.0008960051670694438,climate
ARKANSAS,flood_duration_hours,0.00036553967652819264,0.00020853796641649236,climate
ARKANSAS,heat_stress_index,0.0004300062962218409,0.00021543616136555119,climate
ARKANSAS,drought_annual_mean_index,0.00011011156761276952,0.00021630205325580412,climate
ARKANSAS,fire_frequency,5.3435318475369976e-05,5.0740818180032756e-05,climate
ARKANSAS,fire_size,7.140410019252918e-05,4.8732429635035156e-05,climate
ARKANSAS,deaths_hurricane,0.0,0.0,climate
ARKANSAS,injuries_hurricane,0.0,0.0,climate
ARKANSAS,damage_hurricane,0.0,0.0,climate
ARKANSAS,flood_severity,-0.0006968106688136633,0.0003889166372652289,climate
ARKANSAS,flood_damage_per_event,4.665887617972819e-05,0.00019112619928212733,climate
ARKANSAS,hurricane_impact,0.0,0.0,climate
ARKANSAS,fire_total_area,1.3482209800919077e-05,5.967269470283571e-05,climate
ARKANSAS,climate_stress_index,0.0003625520211932742,0.0003168486142054573,climate
ARKANSAS,flood_frequency_roll3,0.06929191911571297,0.01912974344014282,climate
ARKANSAS,heat_stress_index_roll3,0.0010148153454955233,0.00034366856259708317,climate
ARKANSAS,drought_annual_mean_index_roll3,0.0004884982687528905,0.0004978110228283201,climate
ARKANSAS,fire_frequency_roll3,0.00013726685817802008,0.0006551778411223283,climate
ARKANSAS,hurricane_impact_roll3,0.0,0.0,climate
ARKANSAS,flood_frequency_cumsum,0.02119919148753121,0.0031376253698198937,climate
ARKANSAS,fire_frequency_cumsum,0.018390652909297856,0.0020283391255874,climate
ARKANSAS,hurricane_impact_cumsum,3.6643074965425626e-06,3.3678159165141616e-06,climate
ARKANSAS,heat_x_unemployment,0.00032485532836014076,0.0002896147080108951,climate
ARKANSAS,drought_x_gdp,-0.00025802206660250346,0.00012280924430128215,climate
ARKANSAS,flood_x_proprate,-6.624181907000093e-06,0.00011594110981658785,climate
ARKANSAS,fire_x_population,-0.0022771120157091818,0.0007425841689155264,climate
ARKANSAS,climate_stress_x_avgprice,7.018982172984911e-05,0.00015136313541120548,climate
ALASKA,real_gdp,0.03089692065189169,0.016080738987955884,economic/context
ALASKA,unemployment_rate,0.16122469265400155,0.19275504370538524,economic/context
ALASKA,prop_rate,0.0,0.0,economic/context
ALASKA,total_home_purchase,0.018649663779709648,0.004258909653623312,economic/context
ALASKA,total_amt_purchase,0.07754673785172699,0.05118029953124243,economic/context
ALASKA,total_population,0.045136841345421154,0.02996255204680077,economic/context
ALASKA,gdp_per_capita,0.13437664319917514,0.10208869872196663,economic/context
ALASKA,avg_home_price,0.05825118857207837,0.04061946033354473,economic/context
ALASKA,purchase_per_capita,0.005373267237909751,0.0030126834116453484,economic/context
ALASKA,log_gdp,0.0,0.0,economic/context
ALASKA,log_population,0.0,0.0,economic/context
ALASKA,log_amt_purchase,0.0,0.0,economic/context
ALASKA,yr_centered,0.0,0.0,economic/context
ALASKA,yr_sq,-4.173196295648163e-05,7.681341265724064e-05,economic/context
ALASKA,flood_frequency,0.0,0.0,climate
ALASKA,flood_property_damage,0.0,0.0,climate
ALASKA,flood_duration_hours,0.0,0.0,climate
ALASKA,heat_stress_index,0.0,0.0,climate
ALASKA,drought_annual_mean_index,0.0,0.0,climate
ALASKA,fire_frequency,0.0005135237986017671,0.0006639624148200703,climate
ALASKA,fire_size,-0.001726697650764064,0.001037902435533634,climate
ALASKA,deaths_hurricane,0.0,0.0,climate
ALASKA,injuries_hurricane,0.0,0.0,climate
ALASKA,damage_hurricane,0.0,0.0,climate
ALASKA,flood_severity,0.0,0.0,climate
ALASKA,flood_damage_per_event,0.0,0.0,climate
ALASKA,hurricane_impact,0.0,0.0,climate
ALASKA,fire_total_area,0.0004914522015112777,0.00031636999956295345,climate
ALASKA,climate_stress_index,0.00013761161155375622,0.00016196362220440846,climate
ALASKA,flood_frequency_roll3,0.0,0.0,climate
ALASKA,heat_stress_index_roll3,0.0,0.0,climate
ALASKA,drought_annual_mean_index_roll3,0.0,0.0,climate
ALASKA,fire_frequency_roll3,0.007620229739007689,0.0036138387171944413,climate
ALASKA,hurricane_impact_roll3,0.0,0.0,climate
