county_fips5,yr,index_nsa_pred
1001,2021,197.5266831906363
1001,2022,206.41232265852392
1001,2023,216.10321114264363
1001,2024,225.2227710207522
1001,2025,233.74857036231984
1003,2021,434.31004450245734
1003,2022,451.3155512586262
1003,2023,469.467005446617
1003,2024,488.3552327239784
1003,2025,507.7813744912907
1005,2021,226.0337355248788
1005,2022,226.2589582820322
1005,2023,224.91031608311627
1005,2024,224.38817273157878
1005,2025,224.74176676948514
1007,2021,168.9377923173818
1007,2022,167.7114830339667
1007,2023,166.48350476342586
1007,2024,164.832503599053
1007,2025,162.37646949975468
1009,2021,217.43752571263218
1009,2022,228.45434027959845
1009,2023,240.06500422943822
1009,2024,251.81392793057333
1009,2025,263.7096148132834
1013,2021,164.86738639498526
1013,2022,154.524450118338
1013,2023,139.713182116428
1013,2024,122.38243701488372
1013,2025,102.55600663002505
1015,2021,315.74311139235317
1015,2022,315.30399430323644
1015,2023,314.168013959557
1015,2024,312.47217547730224
1015,2025,309.80668153015597
1017,2021,220.96144549598688
1017,2022,217.46052058422953
1017,2023,212.57825451304373
1017,2024,206.25948549971986
1017,2025,198.10369270688767
1019,2021,172.24325717988927
1019,2022,178.6428784385758
1019,2023,184.7005746055347
1019,2024,190.32058583498957
1019,2025,195.46739594822782
1021,2021,242.82209096307182
1021,2022,250.42884623441142
1021,2023,258.1324897854352
1021,2024,265.9388093201619
1021,2025,273.74533739695767
1023,2021,135.86452676768124
1023,2022,133.99384007950852
1023,2023,135.3767255044896
1023,2024,137.9450561189186
1023,2025,140.71324546681885
1025,2021,216.89879673634286
1025,2022,212.314489752814
1025,2023,207.87698831196022
1025,2024,204.97049608113116
1025,2025,203.35096063375934
1027,2021,154.16852213579347
1027,2022,166.9109305122593
1027,2023,179.65679848921067
1027,2024,192.39760023577196
1027,2025,205.71556659192677
1029,2021,198.71020043903007
1029,2022,207.35125016618267
1029,2023,216.0395736748066
1029,2024,225.29885286669543
1029,2025,235.1213717350588
1031,2021,205.83906488585887
1031,2022,218.75903626794394
1031,2023,233.04707489060837
1031,2024,247.75068728560066
1031,2025,263.0018706993777
1033,2021,239.8003221296824
1033,2022,239.58519584427256
1033,2023,238.6656793614629
1033,2024,237.32027169043755
1033,2025,235.31069981288718
1035,2021,122.36156766625245
