"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"06107",4095,398349000
2000,"06109",768,90122000
2000,"06111",16415,3353883000
2000,"06113",2563,383527000
2000,"06115",601,52234000
2000,"08001",9824,1363117000
2000,"08003",77,5624000
2000,"08005",15525,2469217000
2000,"08007",182,22090000
2000,"08009",3,117000
2000,"08011",18,1219000
2000,"08013",7752,1500473000
2000,"08014",1562,287748000
2000,"08015",149,17796000
2000,"08017",4,318000
2000,"08019",231,39619000
2000,"08021",23,1293000
2000,"08023",9,371000
2000,"08025",18,1365000
2000,"08027",36,4569000
2000,"08029",308,28470000
2000,"08031",13996,2204072000
2000,"08033",6,470000
2000,"08035",10560,2076911000
2000,"08037",915,252523000
2000,"08039",656,114838000
2000,"08041",12920,1785870000
2000,"08043",650,61243000
2000,"08045",1044,146713000
2000,"08047",168,25586000
2000,"08049",248,41872000
2000,"08051",202,30117000
2000,"08053",3,360000
2000,"08055",51,4733000
2000,"08057",9,566000
2000,"08059",13174,2198838000
2000,"08061",2,143000
2000,"08063",41,3064000
2000,"08065",87,9609000
2000,"08067",686,89248000
2000,"08069",6869,947704000
2000,"08071",109,10351000
2000,"08073",38,3417000
2000,"08075",247,19435000
2000,"08077",2794,287367000
2000,"08079",2,253000
2000,"08081",202,16625000
2000,"08083",140,13146000
2000,"08085",488,44195000
2000,"08087",236,19662000
2000,"08089",94,6084000
2000,"08091",39,6924000
2000,"08093",490,73140000
2000,"08095",29,1824000
2000,"08097",311,106354000
2000,"08099",43,2712000
2000,"08101",2218,205061000
2000,"08103",82,6510000
2000,"08105",60,4514000
2000,"08107",381,72148000
2000,"08109",34,2209000
2000,"08111",5,419000
2000,"08113",128,40666000
2000,"08115",20,1026000
2000,"08117",886,173106000
2000,"08119",551,73167000
2000,"08121",37,2306000
2000,"08123",5566,726126000
2000,"08125",55,3635000
2000,"09001",15224,4128023000
2000,"09003",13081,1680626000
2000,"09005",2972,419739000
2000,"09007",2846,405332000
2000,"09009",12092,1533838000
2000,"09011",3805,490124000
2000,"09013",2190,290933000
2000,"09015",1156,119264000
2000,"10001",2062,199747000
2000,"10003",9062,1127270000
2000,"10005",2085,208541000
2000,"11001",8949,1580850000
2000,"12001",3454,338525000
2000,"12003",255,18772000
2000,"12005",2657,252114000
2000,"12007",156,9574000
2000,"12009",10290,997260000
2000,"12011",40055,4838327000
2000,"12013",62,3267000
2000,"12015",3080,289101000
2000,"12017",1872,139948000
2000,"12019",3093,328927000
2000,"12021",6259,1103746000
2000,"12023",567,33399000
2000,"12027",234,15622000
2000,"12029",83,2690000
2000,"12031",13136,1356882000
2000,"12033",4439,415036000
2000,"12035",1380,138556000
2000,"12037",87,10377000
2000,"12039",432,27368000
2000,"12041",180,9712000
2000,"12043",54,3543000
2000,"12045",92,7216000
2000,"12047",82,4035000
2000,"12049",78,5022000
2000,"12051",227,13111000
2000,"12053",2729,209666000
2000,"12055",763,48156000
2000,"12057",21290,2445491000
2000,"12059",85,4443000
2000,"12061",1909,238268000
2000,"12063",374,22083000
2000,"12065",130,9125000
2000,"12067",30,1428000
2000,"12069",5604,538627000
2000,"12071",10402,1167494000
2000,"12073",4094,426543000
2000,"12075",422,22401000
2000,"12077",33,1845000
2000,"12079",102,5466000
2000,"12081",5664,674068000
2000,"12083",4578,352540000
2000,"12085",2728,374399000
2000,"12086",0,9000
2000,"12087",969,186963000
2000,"12089",969,122442000
2000,"12091",3234,364837000
2000,"12093",276,16427000
2000,"12095",19812,2287388000
2000,"12097",4404,423960000
2000,"12099",26121,3564484000
2000,"12101",8568,711829000
2000,"12103",18292,1975390000
2000,"12105",7583,622465000
2000,"12107",558,35220000
2000,"12109",3570,558298000
2000,"12111",3681,298862000
2000,"12113",2717,291820000
2000,"12115",7161,997970000
2000,"12117",8822,1108804000
2000,"12119",960,74293000
2000,"12121",363,19789000
2000,"12123",186,11070000
2000,"12125",102,5575000
2000,"12127",8569,753330000
2000,"12129",323,27328000
2000,"12131",667,88244000
2000,"12133",207,12107000
2000,"13001",113,4939000
2000,"13003",48,1850000
2000,"13005",51,2045000
2000,"13007",12,460000
2000,"13009",423,31184000
2000,"13011",151,11855000
2000,"13013",1060,108645000
2000,"13015",1656,170669000
2000,"13017",106,5107000
2000,"13019",119,6318000
2000,"13021",1837,181215000
2000,"13023",69,3787000
2000,"13025",85,3927000
2000,"13027",119,6035000
2000,"13029",505,54346000
2000,"13031",554,40221000
2000,"13033",218,12089000
2000,"13035",300,25583000
2000,"13037",30,1232000
2000,"13039",613,50146000
2000,"13043",79,3770000
2000,"13045",1524,154719000
2000,"13047",820,69605000
2000,"13049",90,3793000
2000,"13051",3564,399704000
