IBRC_Geo_ID,Year,Total Population
1023,2002,15367
1023,2003,15199
1023,2004,14930
1023,2005,14545
1023,2006,14431
1023,2007,14216
1023,2008,14114
1023,2009,13976
1023,2010,13848
1023,2011,13608
1023,2012,13565
1023,2013,13401
1023,2014,13322
1023,2015,13237
1023,2016,13049
1023,2017,12923
1023,2018,12810
1023,2019,12577
1023,2020,12622
1023,2021,12544
1023,2022,12420
1023,2023,12263
1023,2024,12052
1025,2000,27819
1025,2001,27624
1025,2002,27267
1025,2003,27090
1025,2004,26958
1025,2005,26764
1025,2006,26755
1025,2007,26436
1025,2008,26283
1025,2009,26038
1025,2010,25767
1025,2011,25589
1025,2012,25161
1025,2013,25131
1025,2014,24873
1025,2015,24711
1025,2016,24342
1025,2017,24083
1025,2018,23965
1025,2019,23651
1025,2020,22989
1025,2021,22735
1025,2022,22545
1025,2023,22305
1025,2024,22142
1027,2000,14263
1027,2001,14298
1027,2002,14257
1027,2003,14203
1027,2004,14121
1027,2005,14077
1027,2006,14053
1027,2007,14085
1027,2008,14161
1027,2009,14006
1027,2010,13897
1027,2011,13687
1027,2012,13433
1027,2013,13406
1027,2014,13443
1027,2015,13415
1027,2016,13393
1027,2017,13355
1027,2018,13301
1027,2019,13265
1027,2020,14210
1027,2021,14156
1027,2022,14198
1027,2023,14157
1027,2024,14239
1029,2000,14172
1029,2001,14222
1029,2002,14416
1029,2003,14438
1029,2004,14339
1029,2005,14368
1029,2006,14538
1029,2007,14799
1029,2008,14874
1029,2009,14918
1029,2010,15004
1029,2011,14928
1029,2012,14889
1029,2013,14974
1029,2014,15029
1029,2015,14923
1029,2016,14871
1029,2017,14924
1029,2018,15047
1029,2019,14952
1029,2020,15063
1029,2021,15151
1029,2022,15353
1029,2023,15658
1029,2024,15905
1031,2000,43580
1031,2001,43716
1031,2002,43930
1031,2003,44315
1031,2004,45053
1031,2005,45604
1031,2006,46228
1031,2007,47458
1031,2008,48516
1031,2009,49440
1031,2010,50204
1031,2011,50449
1031,2012,51159
1031,2013,50709
1031,2014,50693
1031,2015,51004
1031,2016,51281
1031,2017,51943
1031,2018,52097
1031,2019,52639
1031,2020,53565
1031,2021,54201
1031,2022,54769
1031,2023,55707
1031,2024,56358
1033,2000,54997
1033,2001,54793
1033,2002,54536
1033,2003,54279
1033,2004,54380
1033,2005,54359
1033,2006,54413
1033,2007,54486
1033,2008,54473
1033,2009,54426
1033,2010,54527
1033,2011,54545
1033,2012,54578
1033,2013,54544
1033,2014,54484
1033,2015,54439
1033,2016,54483
1033,2017,54682
1033,2018,54970
1033,2019,55241
1033,2020,57305
1033,2021,57615
1033,2022,58023
1033,2023,58382
1033,2024,58785
1035,2000,14035
1035,2001,13940
1035,2002,13793
1035,2003,13585
1035,2004,13430
1035,2005,13421
1035,2006,13603
1035,2007,13441
1035,2008,13388
1035,2009,13274
1035,2010,13234
1035,2011,13194
1035,2012,13043
1035,2013,12908
1035,2014,12674
1035,2015,12677
1035,2016,12495
1035,2017,12431
1035,2018,12264
1035,2019,12055
1035,2020,11551
1035,2021,11317
1035,2022,11220
1035,2023,11177
1035,2024,11109
1037,2000,11844
1037,2001,11848
1037,2002,11740
1037,2003,11732
1037,2004,11560
1037,2005,11467
1037,2006,11451
1037,2007,11439
1037,2008,11493
1037,2009,11410
1037,2010,11779
1037,2011,11483
1037,2012,11343
1037,2013,11252
1037,2014,11037
1037,2015,10935
1037,2016,10812
1037,2017,10724
1037,2018,10619
1037,2019,10677
1037,2020,10340
1037,2021,10321
1037,2022,10283
1037,2023,10267
1037,2024,10291
1039,2000,37514
1039,2001,37069
1039,2002,36901
1039,2003,36860
1039,2004,36806
1039,2005,37204
1039,2006,37441
1039,2007,37631
1039,2008,37545
1039,2009,37648
1039,2010,37810
1039,2011,38023
1039,2012,37809
1039,2013,37820
1039,2014,37766
1039,2015,37566
1039,2016,37400
1039,2017,37077
1039,2018,36993
1039,2019,37082
1039,2020,37513
1039,2021,37512
1039,2022,37508
1039,2023,37861
1039,2024,37748
1041,2000,13692
1041,2001,13724
1041,2002,13635
1041,2003,13652
1041,2004,13727
1041,2005,13699
1041,2006,13880
1041,2007,13956
1041,2008,13922
1041,2009,14024
1041,2010,13868
1041,2011,13894
1041,2012,13914
1041,2013,13847
1041,2014,13851
1041,2015,13851
1041,2016,13911
1041,2017,13871
1041,2018,13855
1041,2019,13811
1041,2020,13171
1041,2021,13062
1041,2022,13096
1041,2023,13168
1041,2024,13114
1043,2000,77473
1043,2001,77415
1043,2002,77443
1043,2003,77657
1043,2004,78131
1043,2005,78692
1043,2006,79044
1043,2007,79576
1043,2008,80273
1043,2009,80351
1043,2010,80456
