region,n,rmse,r2,cv_r2,top_climate_feature
West,2657,4.489533016978929,0.6312185172500998,0.5816143420225389,cat_Drought
Southeast,5777,4.512769020934584,0.5937664424483542,0.5343965010781918,cat_Winter
Midwest,5853,4.067570842218487,0.510243294558126,0.49630396164556834,cat_Flood
Northeast,1682,3.153505572598884,0.595613169698124,0.6309020137209276,cat_Drought
South/Plains,2976,5.148670763907743,0.42213784593524795,0.4411287899053642,cat_Drought
